1;dornauweg;Dornauweg;graz-straßgang;
1;dorngasse;Dorngasse;graz-lend;
1;dornschneidergasse;Dornschneidergasse;graz-gries;
1;dorotheesölleweg;Dorothee-Sölle-Weg;graz-gries;
1;drantonschlossarweg;Dr.-Anton-Schlossar-Weg;graz-waltendorf;
1;drantonweg;Dr.-Anton-Weg;graz-straßgang;
1;drbrunoertlerstraße;Dr.-Bruno-Ertler-Straße;graz-mariatrost;
1;dreckenerstraße;Dr.-Eckener-Straße;graz-mariatrost;
1;drempergerweg;Dr.-Emperger-Weg;graz-wetzelsdorf;
1;drhanischweg;Dr.-Hanisch-Weg;graz-ries;
1;drhanskloepferstraße;Dr.-Hans-Kloepfer-Straße;graz-eggenberg;
1;drhansspitzyplatzl;Dr.-Hans-Spitzy-Platzl;graz-gries;
1;drheschlweg;Dr.-Heschl-Weg;graz-straßgang;
1;drignazscarpatettistraße;Dr.-Ignaz-Scarpatetti-Straße;graz-wetzelsdorf;
1;drjohannesudegasse;Dr.-Johannes-Ude-Gasse;graz-andritz;
1;drkamnikerstraße;Dr.-Kamniker-Straße;graz-straßgang;
1;drkarlluegerstraße;Dr.-Karl-Lueger-Straße;graz-gösting;
1;drlemischstraße;Dr.-Lemisch-Straße;graz-straßgang;
1;drlistergasse;Dr.-Lister-Gasse;graz-liebenau;
1;drpfaffgasse;Dr.-Pfaff-Gasse;graz-sanktpeter;
1;drplochlstraße;Dr.-Plochl-Straße;graz-jakomini;
1;drplochlstraße;Dr.-Plochl-Straße;graz-liebenau;
1;drrobertgrafstraße;Dr.-Robert-Graf-Straße;graz-waltendorf;
1;drrobertsiegerstraße;Dr.-Robert-Sieger-Straße;graz-jakomini;
1;drschlossarpark;Dr.-Schlossar-Park;graz-gries;
1;drstichlweg;Dr.-Stichl-Weg;graz-mariatrost;
1;drtheodorpfeifferstraße;Dr.-Theodor-Pfeiffer-Straße;graz-puntigam;
1;drtillygasse;Dr.-Tilly-Gasse;graz-andritz;
1;draisgasse;Draisgasse;graz-jakomini;
1;dreierschützengasse;Dreierschützengasse;graz-lend;
1;dreihackengasse;Dreihackengasse;graz-gries;
1;drosselweg;Drosselweg;graz-waltendorf;
1;drostehülshoffgasse;Droste-Hülshoff-Gasse;graz-geidorf;
1;dubrovnikallee;Dubrovnik Allee;graz-innerestadt;
1;dürergasse;Dürergasse;graz-sanktleonhard;
1;dürrgrabenweg;Dürrgrabenweg;graz-andritz;
1;eckertstraße;Eckertstraße;graz-eggenberg;
1;eckmichlstraße;Eckmichlstraße;graz-ries;
1;edelweißweg;Edelweißweg;graz-ries;
1;edisonstraße;Edisonstraße;graz-wetzelsdorf;
1;edlingerweg;Edlingerweg;graz-waltendorf;
1;eduardkeilgasse;Eduard-Keil-Gasse;graz-liebenau;
1;eduardrichtergasse;Eduard-Richter-Gasse;graz-sanktleonhard;
1;eggenbergerallee;Eggenberger Allee;graz-eggenberg;
1;eggenbergergürtel;Eggenberger Gürtel;graz-gries;
1;eggenbergerstraße;Eggenberger Straße;graz-lend;
1;eggenbergerstraße;Eggenberger Straße;graz-gries;
1;eggerlienzweg;Egger-Lienz-Weg;graz-straßgang;
1;eggwald;Eggwald;graz-mariatrost;
1;ehlergasse;Ehlergasse;graz-waltendorf;
1;ehrenfelsgasse;Ehrenfelsgasse;graz-jakomini;
1;eichäckerweg;Eichäckerweg;graz-liebenau;
1;eichbachgasse;Eichbachgasse;graz-liebenau;
1;eichendorffstraße;Eichendorffstraße;graz-geidorf;
1;eichenhaingasse;Eichenhaingasse;graz-andritz;
1;eichenweg;Eichenweg;graz-sanktpeter;
1;eichholzerweg;Eichholzerweg;graz-sanktpeter;
1;eigenweg;Eigenweg;graz-sanktpeter;
1;einödhofweg;Einödhofweg;graz-sanktpeter;
1;einödstraße;Einödstraße;graz-wetzelsdorf;
1;einpacherweg;Einpacherweg;graz-straßgang;
1;einsiedlerweg;Einsiedlerweg;graz-mariatrost;
1;einspinnergasse;Einspinnergasse;graz-innerestadt;
1;eintrachtgasse;Eintrachtgasse;graz-liebenau;
1;eisengasse;Eisengasse;graz-eggenberg;
1;eißlgasse;Eißlgasse;graz-ries;
1;eisteichgasse;Eisteichgasse;graz-sanktpeter;
1;eisteichgasse;Eisteichgasse;graz-waltendorf;
1;eiswerkgasse;Eiswerkgasse;graz-gösting;
1;ekkehardhauerstraße;Ekkehard-Hauer-Straße;graz-wetzelsdorf;
1;elisabethinergasse;Elisabethinergasse;graz-gries;
1;elisabethstraße;Elisabethstraße;graz-sanktleonhard;
1;elisabethstraße;Elisabethstraße;graz-geidorf;
1;elisesteiningersteg;Elise-Steininger-Steg;graz-innerestadt;
1;elisesteiningersteg;Elise-Steininger-Steg;graz-geidorf;
1;emichgasse;Emichgasse;graz-andritz;
1;emichplatzl;Emichplatzl;graz-innerestadt;
1;emilertlgasse;Emil-Ertl-Gasse;graz-jakomini;
1;emilertlgasse;Emil-Ertl-Gasse;graz-liebenau;
1;emilertlgasse;Emil-Ertl-Gasse;graz-sanktpeter;
1;engegasse;Enge Gasse;graz-innerestadt;
1;engelbertrücklgasse;Engelbert-Rückl-Gasse;graz-jakomini;
1;engelgasse;Engelgasse;graz-sanktleonhard;
1;engelsdorferstraße;Engelsdorfer Straße;graz-liebenau;
1;engerthgasse;Engerthgasse;graz-andritz;
1;entenplatz;Entenplatz;graz-gries;
1;enzianweg;Enzianweg;graz-straßgang;
1;eppensteinerweg;Eppensteinerweg;graz-eggenberg;
1;erdbergweg;Erdbergweg;graz-wetzelsdorf;
